Species;Family;Region;Continent;Realm;First_Observation;IntentionalRelease;Latest_Reference;Latest_Reference_Year
Abaeis nicippe;Pieridae;Hawaii;Oceania;Nearctic;2013;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Acalyptris platani;Nepticulidae;United Kingdom;Europe;Palearctic;2023;;Richards, N. (2024).  Acalyptris platani (Muller-Rutz, 1934)(Lep.: Nepticulidae) new to the British Isles. Entomologists Record and Journal of Variation. 136: 36-38;2024
Acalyptris platani;Nepticulidae;Slovenia;Europe;Palearctic;;0;Lopez-Vaamonde, C., et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668;2010
Acentria ephemerella;Crambidae;United States;North America;Nearctic;1927;1;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Achaea ablunaris;Erebidae;United States;North America;Nearctic;1984;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Acharia stimulea;Limacodidae;Hungary;Europe;Palearctic;2007;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Acharia stimulea;Limacodidae;Romania;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Acherontia lachesis;Sphingidae;Hawaii;Oceania;Nearctic;;0;Integrated Taxonomic Information System (ITIS) (2024). Integrated Taxonomic Information System (ITIS) on-line database.  Available at: https://www.itis.gov;2024
Achroia grisella;Pyralidae;Bulgaria;Europe;Palearctic;1900;0;Timus, A. (2015). The Invasive Entomofauna of the Holometabola Group, Superorder Mecopteroidea for Republic of Moldova. Current Trends in Natural Sciences. 4(7): 50-58;2015
Achroia grisella;Pyralidae;Ireland;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Achroia grisella;Pyralidae;New Zealand;Oceania;Australian;1908;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Achroia grisella;Pyralidae;United States;North America;Nearctic;1565;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Achroia grisella;Pyralidae;Hawaii;Oceania;Nearctic;1888;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Achroia grisella;Pyralidae;South Africa;Africa;Afrotropical;;1;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Achyra affinitalis;Crambidae;New Zealand;Oceania;Australian;1973;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Acleris comariana;Tortricidae;New Zealand;Oceania;Australian;1970;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Acleris comariana;Tortricidae;United States;North America;Nearctic;1972;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Acleris forsskaleana;Tortricidae;United States;North America;Nearctic;1932;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Acleris holmiana;Tortricidae;Canada;North America;Nearctic;1977;0;Gilligan, T., et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594;2020
Acleris holmiana;Tortricidae;United States;North America;Nearctic;1974;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Acleris rhombana;Tortricidae;Canada;North America;Nearctic;2006;0;Petersen, W., Looney, C. (2020). New Moth Records in Washington State (USA) Acquired from Exotic Pest Surveys. The Journal of the Lepidopterists Society. 74(1): 57-61;2020
Acleris rhombana;Tortricidae;United States;North America;Nearctic;2017;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Acleris undulana;Tortricidae;Spain;Europe;Palearctic;1998;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Acleris undulana;Tortricidae;France;Europe;Palearctic;;0;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Acleris undulana;Tortricidae;Morocco;Africa;Saharo-Arabian;;0;Pullaiah, T., Ielmini, M.R. (Eds.) (2021). Invasive Alien Species: Observations and Issues from Around the World. Volume 1: Issues and Invasions in Africa. Wiley. 380pp.;2021
Acleris variegana;Tortricidae;Canada;North America;Nearctic;1922;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Acleris variegana;Tortricidae;Ireland;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Acleris variegana;Tortricidae;Portugal;Europe;Palearctic;;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Acleris variegana;Tortricidae;United States;North America;Nearctic;1920;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Acleris zimmermani;Tortricidae;Hawaii;Oceania;Nearctic;1963;1;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Acontia candefacta;Noctuidae;Bulgaria;Europe;Palearctic;2009;0;Stojanovic, D., et al. (2017). Expansion of the range of the introduced moth Acontia candefacta in southeastern Europe. Bulletin of Insectology. 70(1): 111-120;2017
Acontia candefacta;Noctuidae;United Kingdom;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Acontia candefacta;Noctuidae;Romania;Europe;Palearctic;2008;0;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Acontia candefacta;Noctuidae;Russia Europe;Europe;Palearctic;1967;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Acontia candefacta;Noctuidae;Russia Asia;Asia;Palearctic;1985;1;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Acontia candefacta;Noctuidae;Serbia;Europe;Palearctic;2009;0;Stojanovic, D., et al. (2017). Expansion of the range of the introduced moth Acontia candefacta in southeastern Europe. Bulletin of Insectology. 70(1): 111-120;2017
Acontia candefacta;Noctuidae;Ukraine;Europe;Palearctic;2004;0;Stojanovic, D., et al. (2017). Expansion of the range of the introduced moth Acontia candefacta in southeastern Europe. Bulletin of Insectology. 70(1): 111-120;2017
Acontia crocata;Noctuidae;France;Europe;Palearctic;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Acontia exigua;Noctuidae;Galapagos;South America;Neotropical;1975;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Acontia margana;Noctuidae;Galapagos;South America;Neotropical;;;Mally, R., et al. (2022), Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset. Available at: https://doi.org/10.5061/dryad.31zcrjdnw;2022
Acraea terpsicore;Nymphalidae;Australia;Australia;Australian;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
